name_def,pos_def,min_distance_wep,min_distance
Patrick Surtain,"[51.07, 18.09]",DK Metcalf,7.287743134880647
Patrick Surtain,"[51.09, 17.76]",DK Metcalf,7.256913944646167
Patrick Surtain,"[51.11, 17.42]",DK Metcalf,7.233173577344872
Patrick Surtain,"[51.13, 17.08]",DK Metcalf,7.209798887625094
Patrick Surtain,"[51.15, 16.73]",DK Metcalf,7.20336726816008
Patrick Surtain,"[51.17, 16.38]",DK Metcalf,7.18648731996377
Patrick Surtain,"[51.19, 16.03]",DK Metcalf,7.183905622988094
Patrick Surtain,"[51.22, 15.68]",DK Metcalf,7.19183564884515
Patrick Surtain,"[51.25, 15.33]",DK Metcalf,7.209278743397292
Patrick Surtain,"[51.29, 14.98]",DK Metcalf,7.22847840143415
Patrick Surtain,"[51.34, 14.64]",DK Metcalf,7.253971326108207
Patrick Surtain,"[51.38, 14.3]",DK Metcalf,7.2675305296916415
Patrick Surtain,"[51.44, 13.97]",DK Metcalf,7.305299446292392
Patrick Surtain,"[51.5, 13.64]",DK Metcalf,7.349727886119322
Patrick Surtain,"[51.56, 13.32]",Marquise Goodwin,7.209022125087426
Patrick Surtain,"[51.63, 13.01]",Marquise Goodwin,7.056691859504709
Patrick Surtain,"[51.7, 12.69]",Marquise Goodwin,6.9057439859873195
Patrick Surtain,"[51.78, 12.39]",Marquise Goodwin,6.780007374627261
Patrick Surtain,"[51.85, 12.09]",Marquise Goodwin,6.653976254841916
Patrick Surtain,"[51.93, 11.8]",Marquise Goodwin,6.565439817712136
Patrick Surtain,"[52.01, 11.51]",Marquise Goodwin,6.488913622479494
Patrick Surtain,"[52.09, 11.23]",Marquise Goodwin,6.448108249711694
Patrick Surtain,"[52.17, 10.96]",Marquise Goodwin,6.42222702806433
Patrick Surtain,"[52.25, 10.7]",Marquise Goodwin,6.427503403344099
Patrick Surtain,"[52.32, 10.45]",Marquise Goodwin,6.44175441941091
Patrick Surtain,"[52.4, 10.21]",Marquise Goodwin,6.486393450909368
Patrick Surtain,"[52.48, 9.99]",Marquise Goodwin,6.550725150698964
Patrick Surtain,"[52.57, 9.78]",Marquise Goodwin,6.633679220462807
Patrick Surtain,"[52.66, 9.6]",Marquise Goodwin,6.715966051135158
Patrick Surtain,"[52.76, 9.43]",Marquise Goodwin,6.823562119597061
Patrick Surtain,"[52.88, 9.28]",Marquise Goodwin,6.9456461182527915
Patrick Surtain,"[52.99, 9.14]",Marquise Goodwin,7.061387965548985
Patrick Surtain,"[53.1, 9.01]",Marquise Goodwin,7.1800069637849235
Patrick Surtain,"[53.21, 8.87]",Marquise Goodwin,7.301157442488147
Patrick Surtain,"[53.32, 8.77]",Marquise Goodwin,7.413568641349459
Patrick Surtain,"[53.43, 8.67]",Marquise Goodwin,7.527237208963196
Patrick Surtain,"[53.54, 8.58]",Marquise Goodwin,7.64155088970819
Patrick Surtain,"[53.65, 8.5]",Marquise Goodwin,7.756133057136141
Patrick Surtain,"[53.75, 8.43]",Marquise Goodwin,7.850719712230209
Patrick Surtain,"[53.85, 8.38]",Marquise Goodwin,7.944230610952833
Patrick Surtain,"[53.94, 8.34]",Marquise Goodwin,8.027178831943386
Patrick Surtain,"[54.04, 8.32]",Marquise Goodwin,8.118528191735244
Patrick Surtain,"[54.13, 8.3]",Marquise Goodwin,8.189969474912592
Patrick Surtain,"[54.21, 8.3]",Marquise Goodwin,8.259715491468219
Patrick Surtain,"[54.28, 8.3]",Marquise Goodwin,8.328631340142273
Patrick Surtain,"[54.35, 8.3]",Marquise Goodwin,8.388426550909294
Patrick Surtain,"[54.41, 8.31]",Marquise Goodwin,8.447413805419972
Patrick Surtain,"[54.47, 8.31]",Marquise Goodwin,8.507220462642305
Patrick Surtain,"[54.51, 8.31]",Marquise Goodwin,8.556272552928641
Patrick Surtain,"[54.54, 8.31]",Marquise Goodwin,8.58540622218891
Patrick Surtain,"[54.57, 8.32]",Marquise Goodwin,8.624528972645406
Patrick Surtain,"[54.6, 8.32]",Marquise Goodwin,8.653698631221221
Patrick Surtain,"[54.63, 8.34]",Marquise Goodwin,8.691432563162419
Patrick Surtain,"[54.66, 8.35]",Marquise Goodwin,8.731334376829231
Patrick Surtain,"[54.69, 8.37]",Marquise Goodwin,8.75989155184012
Patrick Surtain,"[54.71, 8.38]",Marquise Goodwin,8.779179916142509
Patrick Surtain,"[54.73, 8.39]",Marquise Goodwin,8.798482823760008
Patrick Surtain,"[54.75, 8.4]",Marquise Goodwin,8.817800179183012
Patrick Surtain,"[54.77, 8.41]",Marquise Goodwin,8.837131887665816
Patrick Surtain,"[54.78, 8.42]",Marquise Goodwin,8.836515150216176
Patrick Surtain,"[54.8, 8.43]",Marquise Goodwin,8.85587375700444
Patrick Surtain,"[54.81, 8.43]",Marquise Goodwin,8.86645927075741
Patrick Surtain,"[54.81, 8.43]",Marquise Goodwin,8.856477855219877
Patrick Surtain,"[54.81, 8.44]",Marquise Goodwin,8.855873757004447
Patrick Surtain,"[54.81, 8.44]",Marquise Goodwin,8.855873757004447
Patrick Surtain,"[54.8, 8.45]",Marquise Goodwin,8.835315500874884
Patrick Surtain,"[54.79, 8.47]",Marquise Goodwin,8.824177015450225
Patrick Surtain,"[54.77, 8.5]",Marquise Goodwin,8.802556446851113
Patrick Surtain,"[54.77, 8.53]",Marquise Goodwin,8.801005624359078
Patrick Surtain,"[54.76, 8.56]",Marquise Goodwin,8.779578577585596
Patrick Surtain,"[54.77, 8.59]",Marquise Goodwin,8.788219387338941
Patrick Surtain,"[54.78, 8.61]",Marquise Goodwin,8.797368924854748
Patrick Surtain,"[54.79, 8.62]",Marquise Goodwin,8.806957476904266
Patrick Surtain,"[54.8, 8.61]",Marquise Goodwin,8.817352210272645
Patrick Surtain,"[54.82, 8.59]",Marquise Goodwin,8.83817288810306
Patrick Surtain,"[54.83, 8.55]",Marquise Goodwin,8.850451965860271
Patrick Surtain,"[54.85, 8.51]",Marquise Goodwin,8.882443357545268
Patrick Surtain,"[54.86, 8.45]",Marquise Goodwin,8.8964037678154
Patrick Surtain,"[54.88, 8.4]",Marquise Goodwin,8.919534741229507
Patrick Surtain,"[54.89, 8.35]",Marquise Goodwin,8.93367785405317
Patrick Surtain,"[54.91, 8.3]",Marquise Goodwin,8.957393594121005
Patrick Surtain,"[54.93, 8.27]",Marquise Goodwin,8.969754734662478
Patrick Surtain,"[54.95, 8.24]",Marquise Goodwin,8.982210195714641
Patrick Surtain,"[54.96, 8.22]",Marquise Goodwin,8.98479827263807
Patrick Surtain,"[54.97, 8.21]",Marquise Goodwin,8.985683056952317
Patrick Surtain,"[54.98, 8.2]",Marquise Goodwin,8.986578881865997
Patrick Surtain,"[55.0, 8.21]",Marquise Goodwin,8.994759585447518
Patrick Surtain,"[55.0, 8.21]",Marquise Goodwin,8.98479827263807
Patrick Surtain,"[55.01, 8.22]",Marquise Goodwin,8.983061838816424
Patrick Surtain,"[55.01, 8.23]",Marquise Goodwin,8.981369606023344
Patrick Surtain,"[55.03, 8.25]",Marquise Goodwin,8.988882021697693
Patrick Surtain,"[55.04, 8.26]",Marquise Goodwin,8.997271808720685
Patrick Surtain,"[55.05, 8.27]",Marquise Goodwin,9.016440539370285
Patrick Surtain,"[55.06, 8.29]",Marquise Goodwin,9.024167551635996
Patrick Surtain,"[55.07, 8.31]",Marquise Goodwin,9.042676594902643
Patrick Surtain,"[55.08, 8.33]",Marquise Goodwin,9.051259580853928
Patrick Surtain,"[55.09, 8.34]",Marquise Goodwin,9.070534714116917
Patrick Surtain,"[55.09, 8.34]",Marquise Goodwin,9.080512100096561
Patrick Surtain,"[55.09, 8.34]",Marquise Goodwin,9.090489535773088
Patrick Surtain,"[55.09, 8.33]",Marquise Goodwin,9.09185349639995
Patrick Surtain,"[55.08, 8.3]",Marquise Goodwin,9.0939815262623
Patrick Surtain,"[55.08, 8.28]",Marquise Goodwin,9.095454908909176
Patrick Surtain,"[55.1, 8.27]",Marquise Goodwin,9.116912854689359
Patrick Surtain,"[55.1, 8.27]",Marquise Goodwin,9.116912854689359
Patrick Surtain,"[55.12, 8.26]",Marquise Goodwin,9.13840795762588
Patrick Surtain,"[55.13, 8.26]",Marquise Goodwin,9.148376905222044
Patrick Surtain,"[55.15, 8.27]",Marquise Goodwin,9.158345920525164
Patrick Surtain,"[55.17, 8.28]",Marquise Goodwin,9.177505107598686
Patrick Surtain,"[55.19, 8.29]",Marquise Goodwin,9.187475170034471
Patrick Surtain,"[55.21, 8.3]",Marquise Goodwin,9.186707788974244
Patrick Surtain,"[55.23, 8.31]",Marquise Goodwin,9.176736892817619
Patrick Surtain,"[55.26, 8.33]",Marquise Goodwin,9.155288089404937
Patrick Surtain,"[55.29, 8.36]",Marquise Goodwin,9.073312515283487
Patrick Surtain,"[55.34, 8.4]",Marquise Goodwin,8.980740503989635
Patrick Surtain,"[55.39, 8.45]",Marquise Goodwin,8.84773982438453
Patrick Surtain,"[55.47, 8.51]",Marquise Goodwin,8.683835558092982
Patrick Surtain,"[55.56, 8.57]",Marquise Goodwin,8.479917452428413
Patrick Surtain,"[55.67, 8.62]",Marquise Goodwin,8.237020092242101
Patrick Surtain,"[55.8, 8.68]",Marquise Goodwin,7.953929846308674
Patrick Surtain,"[55.96, 8.74]",Marquise Goodwin,7.641675209010129
Patrick Surtain,"[56.15, 8.8]",Marquise Goodwin,7.310246233882955
Patrick Surtain,"[56.37, 8.86]",Marquise Goodwin,6.96011494157963
Patrick Surtain,"[56.61, 8.92]",Marquise Goodwin,6.591706910960161
Patrick Surtain,"[56.88, 8.98]",Marquise Goodwin,6.215030168872876
Patrick Surtain,"[57.17, 9.04]",Marquise Goodwin,5.830514557052405
Patrick Surtain,"[57.49, 9.09]",Marquise Goodwin,5.457765110372565
Patrick Surtain,"[57.84, 9.15]",Marquise Goodwin,5.099745091668798
Patrick Surtain,"[58.22, 9.21]",Marquise Goodwin,4.788527957525154
Patrick Surtain,"[58.61, 9.26]",Marquise Goodwin,4.508935572837562
Patrick Surtain,"[59.0, 9.27]",Marquise Goodwin,4.25440947723653
Patrick Surtain,"[59.4, 9.27]",Marquise Goodwin,4.050802389650722
Patrick Surtain,"[59.79, 9.23]",Marquise Goodwin,3.8901156795139156
Patrick Surtain,"[60.17, 9.15]",Marquise Goodwin,3.7700000000000036
Patrick Surtain,"[60.53, 9.02]",Marquise Goodwin,3.6897831914626096
Patrick Surtain,"[60.86, 8.85]",Marquise Goodwin,3.684087403957728
Patrick Surtain,"[61.15, 8.62]",Marquise Goodwin,3.7152927206345376
Patrick Surtain,"[61.4, 8.3]",Marquise Goodwin,3.7387297308043026
Patrick Surtain,"[61.61, 7.96]",Marquise Goodwin,3.810642990362647
Patrick Surtain,"[61.79, 7.58]",Marquise Goodwin,3.884018537545876
Patrick Surtain,"[61.93, 7.15]",Marquise Goodwin,3.9503164430207383
Patrick Surtain,"[62.03, 6.7]",Marquise Goodwin,4.006419848193648
Patrick Surtain,"[62.1, 6.24]",Marquise Goodwin,4.060110835925545
Patrick Surtain,"[62.13, 5.76]",Marquise Goodwin,4.098158122864469
Patrick Surtain,"[62.13, 5.3]",Marquise Goodwin,4.136302696853798
Patrick Surtain,"[62.11, 4.85]",Marquise Goodwin,4.190966475647352
Patrick Surtain,"[62.09, 4.44]",Marquise Goodwin,4.261748467472012
Patrick Surtain,"[62.07, 4.06]",Marquise Goodwin,4.345595471278938
Patrick Surtain,"[62.06, 3.72]",Marquise Goodwin,4.449831457482409
Patrick Surtain,"[62.09, 3.45]",Marquise Goodwin,4.606625663107434
Patrick Surtain,"[62.13, 3.25]",Marquise Goodwin,4.779801251098213
Patrick Surtain,"[62.21, 3.11]",Marquise Goodwin,4.98519809034706
Patrick Surtain,"[62.33, 3.03]",Marquise Goodwin,5.227360710721998
Patrick Surtain,"[62.49, 3.01]",Marquise Goodwin,5.489307788783578
Patrick Surtain,"[62.69, 3.06]",Marquise Goodwin,5.791277924603514
Patrick Surtain,"[62.93, 3.15]",Marquise Goodwin,6.109877249176121
Patrick Surtain,"[63.21, 3.29]",Marquise Goodwin,6.444175664893067
Patrick Surtain,"[63.51, 3.46]",Marquise Goodwin,6.77410510694955
Patrick Surtain,"[63.83, 3.66]",Marquise Goodwin,7.099218266823466
Patrick Surtain,"[64.15, 3.88]",Marquise Goodwin,7.409622122618672
Patrick Surtain,"[64.48, 4.13]",Marquise Goodwin,7.698084177248265
Patrick Surtain,"[64.8, 4.38]",Marquise Goodwin,7.955230983447301
Patrick Surtain,"[65.1, 4.65]",Marquise Goodwin,8.171786830308282
Patrick Surtain,"[65.39, 4.91]",Marquise Goodwin,8.369784943473757
Patrick Surtain,"[65.65, 5.18]",Marquise Goodwin,8.532854153212748
Patrick Surtain,"[65.9, 5.44]",Marquise Goodwin,8.684612829596961
Patrick Surtain,"[66.13, 5.71]",Marquise Goodwin,8.830730434114717
Patrick Surtain,"[66.34, 5.97]",Marquise Goodwin,8.96540573538086
Patrick Surtain,"[66.52, 6.23]",Marquise Goodwin,9.072601611445304
Patrick Surtain,"[66.67, 6.48]",Marquise Goodwin,9.164911347088966
Patrick Surtain,"[66.81, 6.73]",Marquise Goodwin,9.242532120582544
